,Respondent,Timestamp,Anger,Contempt,Disgust,Fear,Joy,Sadness,Surprise,Engagement,Valence,Sentimentality,Confusion,Neutral,Attention,Brow Furrow,Brow Raise,Cheek Raise,Chin Raise,Dimpler,Eye Closure,Eye Widen,Inner Brow Raise,Jaw Drop,Lip Corner Depressor,Lip Press,Lip Pucker,Lip Stretch,Lip Suck,Lid Tighten,Mouth Open,Nose Wrinkle,Smile,Smirk,Upper Lip Raise,Blink,BlinkRate,Pitch,Yaw,Roll,Gaze Velocity,Gaze Acceleration,Fixation Duration,Fixation Dispersion,Saccade Duration,Saccade Amplitude,Saccade Peak Velocity,Saccade Peak Acceleration,Saccade Peak Deceleration,Saccade Direction
0,1,01/01/1970 0:00,1.540756379,4.752659739,0.100988289,1.78290438,0.0279364,0.144618849,0.491452433,10.06541681,-0.129572386,0.771878316,0.040801356,91.65943342,98.29649893,0.043606053,0.092110139,0.63162377,3.301437006,3.265377548,5.060441696,30.7691465,0.059397028,0.241378478,0.00011226,2.35889969,0.105272129,7.185238559,5.578449505,0.03470267,13.73927678,0.088167011,0.615003968,5.151740199,0.03024242,0.011444921,17.34683544,1.804330274,1.191762524,0.520426718,55.90984903,-14.01357434,264.431933,1.007129037,408.5789665,16.46232375,144.6377382,2382.246229,-1864.362894,200.7580127
1,1,01/01/1970 0:01,0.203288853,0.192589093,0.025209349,0.213965012,0.024313757,0.127424649,0.094345616,0.328766108,0,0.0520217,0.034040281,99.50417646,98.63954192,0.167454789,0.027603325,0.079097165,0.007070879,0.043583624,5.222996545,8.836308884,0.015488763,0.003298902,0.000765152,0.0090283,0.010968636,0.027260261,0.003433021,0.031568025,0.970972929,0.243991557,0.064431225,0.008326552,0.099269904,0.016018307,31.28375286,-0.169436843,0.045069797,0.632765366,46.44610698,-0.371281146,434.5254197,1.287160997,367.9093533,14.53278328,132.0286294,2418.446102,-1575.621376,196.5386485
2,1,01/01/1970 0:01,0.46553358,0.932955902,0.02891762,0.547700963,0.025090341,0.132100009,0.246344681,2.167415959,-0.014386662,0.165082775,0.053048836,97.79642607,98.38964902,0.09584773,0.02553371,0.154731665,1.199549686,0.643535314,3.938091257,23.11040807,0.021300713,0.004639691,0.000139075,0.038023202,0.013149028,1.195859126,3.051303459,0.030669043,1.114708245,0.157563786,0.258415804,1.073029877,0.033948583,0.014789534,25.11262799,-2.976007458,0.347449917,0.770168441,45.87434721,5.897857176,343.7509722,1.157291513,323.8378141,14.34967652,132.1353305,2366.217408,-1922.026616,181.0044614
3,1,01/01/1970 0:02,0.269015208,0.126802174,0.887796423,0.254864412,30.64164456,0.266692016,0.166119596,34.79710704,27.9403722,11.26525324,0.237495543,67.3766168,98.08892474,0.122287891,1.216388487,19.22629577,1.19006528,0.884625021,7.973395994,13.25436439,0.257666579,0.49494131,1.45802225,11.52394418,0.015162119,12.39491603,1.202071253,6.436902826,11.9722149,2.162081115,30.60279325,1.530589707,3.34394602,0.017897092,29.52348993,-5.250861751,1.573538533,-0.690258445,54.58116444,-13.43183093,332.8521429,1.047545679,314.3561995,18.35230698,147.4356584,2315.698236,-2232.821879,200.0611968
4,1,01/01/1970 0:02,0.559039617,0.119573911,0.262592042,0.48025787,1.046296569,0.096095979,0.226630532,10.73891641,7.900363299,6.518602263,0.098934829,96.61003314,97.96226081,0.23258586,0.05471114,1.462741689,0.485924455,7.278986398,8.841869094,16.75427118,0.041476397,0.930571858,0.000742007,8.489774172,1.759142817,3.059090598,2.41220895,0.251705611,6.037901136,0.364280458,12.34678353,0.111743799,1.02653938,0.018888889,38.06666667,-5.104650736,-1.523079467,3.806167433,37.72840293,22.19282123,354.6842105,1.080001905,198.519685,11.29906814,76.47887306,777.5117309,-505.8377783,212.0516977
5,1,01/01/1970 0:03,1.007380424,0.774547343,0.120230512,2.209346175,1.630657624,0.100179506,1.20199549,21.7235591,6.666191961,2.819752241,0.082624399,88.67015696,94.10689947,0.077786286,5.029389962,2.935653563,2.316231875,0.042604347,10.56362831,11.27371938,0.158357556,0.429329029,0.00698632,0.308240832,1.450502349,2.326311845,10.67312653,0.124728217,18.64194916,1.047685331,8.586479999,1.666587187,0.447228725,0.014557671,24.268757,-4.085329162,-1.438819923,-1.685045437,112.2891628,-29.22121455,499.2258065,1.452092659,442.1942857,25.18257942,275.2239379,5043.142524,-4095.62662,162.0291853
6,1,01/01/1970 0:03,2.035494794,0.091778519,0.930972381,2.761888027,28.68296707,0.07264638,1.502205348,62.50989105,33.23778944,2.270055505,0.386497714,62.97018867,96.35651256,0.133306979,4.00569,17.89842316,0.501805908,0.141436824,13.02894674,23.67968371,0.962637508,12.87325164,0.004001942,3.701537037,2.07268326,1.446734283,0.14729888,4.384985474,75.09732657,3.76508104,34.6289193,0.485986692,10.62380695,0.017006803,32.55102041,-3.389677187,3.207681648,-4.130331001,92.83154422,-58.13352461,198.3636364,1.014020177,240.4781421,15.66881683,158.3998363,2129.059908,-2072.104338,164.1495964
7,1,01/01/1970 0:04,2.74780016,0.354122533,0.457949066,2.412056281,21.95042852,0.098593951,0.466335911,63.82260833,27.96611912,2.097260945,0.274680612,68.74296446,97.83248111,0.258822149,0.659032197,10.66831181,3.574129248,1.948409252,9.527716687,23.21012618,0.494684966,7.433507696,0.000962662,4.726511252,7.139894994,4.292008626,5.591982976,1.30891015,80.99483532,0.756711776,28.73844387,1.311180139,5.294962272,0.016797312,28.98544233,-3.099705033,1.096212435,-3.475411927,57.40936744,-17.96978311,175.1978022,0.841539727,343.5560345,13.93262661,138.757149,2122.931093,-2029.969648,181.7023356
8,1,01/01/1970 0:04,2.453416828,0.109127738,1.214911233,3.447377719,10.09292685,0.089396693,1.947683788,54.15869906,17.60060783,0.667690496,0.28402958,79.91089365,96.84840092,0.258364134,4.072055043,5.869925358,0.919397246,4.631260533,12.84123395,14.64619271,0.246572136,15.42623229,0.004021181,5.068319011,1.863721048,2.008259922,0.819669331,1.488048105,70.13447481,0.966070475,18.52963154,0.109105531,6.875188253,0.016778523,30.85234899,-1.790913408,3.376856976,-5.727955295,69.12173526,20.95619244,236.2546296,0.932615826,313.7358491,16.66204746,150.3846144,2219.488675,-1825.427837,173.9937982
9,1,01/01/1970 0:05,2.618154634,0.087155358,2.903360297,1.804849235,28.23259212,0.074464025,0.921255584,63.07468521,32.54958409,1.531481316,0.957655989,64.18526257,96.70761275,0.844635591,1.524961939,23.07072554,0.600746539,1.062055036,12.24514012,16.21544228,1.385934889,8.296234504,0.001231446,1.59195636,6.151869347,1.198810923,0.634326638,11.79299873,82.36086017,5.585545605,35.18307235,0.068955963,15.09430542,0.014412417,27.36585366,-5.315162651,1.977403891,-3.985959949,60.87360091,26.77917329,198.2790698,0.865928503,324.8496622,16.43929022,120.1619452,1742.994977,-1084.845635,179.2809052
