Timestamp,Contempt,Confusion,Fixation Index by Stimulus,Saccade Index by Stimulus
297343,99.88505554,94.98586273,,
219281,2.131531477,94.98586273,,
297377,99.88494873,94.98586273,,
297408,99.88226318,94.98586273,,
297440,99.87914276,94.98586273,,
219249,2.036178589,94.98586273,,
219312,2.186049223,94.98586273,,
297472,99.87169647,94.98586273,,
297311,99.88374329,94.98586273,,
297504,99.86164856,94.98586273,,
296142,93.77565765,94.98586273,,
219345,2.214439392,94.98586273,,
296175,95.4162674,94.98586273,,
296111,89.17378235,94.98586273,,
297551,99.85029602,94.98586273,,
219201,1.833677888,94.98586273,,
219376,2.226311922,94.98586273,,
297280,99.88127899,94.98586273,,
296206,96.80969238,94.98586273,,
296061,84.69865417,94.98586273,,
297585,99.83876801,94.98586273,,
297247,99.87709808,94.98586273,,
219409,2.221925259,94.98586273,,
297871,99.83079529,94.98586273,,
296238,97.5434494,94.98586273,,
219169,1.5691787,94.98586273,,
297840,99.83177185,94.98586273,,
296031,73.64700317,94.98586273,,
297920,99.82286072,94.98586273,,
297217,99.86901855,94.98586273,,
297648,99.8146286,94.98586273,,
297616,99.82606506,94.98586273,,
219440,2.205697775,94.98586273,,
297955,99.81799316,94.98586273,,
298016,99.79532623,94.98586273,,
297808,99.82814789,94.98586273,,
297681,99.80536652,94.98586273,,
297982,99.8046875,94.98586273,,
297776,99.82194519,94.98586273,,
535373,1.789865971,94.98586273,,
298048,99.78113556,94.98586273,,
535325,1.8035146,94.98586273,,
295999,62.76559067,94.98586273,,
297168,99.85610962,94.98586273,,
297712,99.80609131,94.98586273,,
219472,2.164027691,94.98586273,,
220885,2.061130047,94.98586273,,
535294,1.838966608,94.98586273,,
220914,2.041823864,94.98586273,,
220849,2.073439121,94.98586273,,
220945,1.999324322,94.98586273,,
535266,1.906427979,94.98586273,,
296271,98.00762177,94.98586273,,
220817,2.080785275,94.98586273,,
535405,1.806483269,94.98586273,,
297742,99.81623077,94.98586273,,
220976,1.981659651,94.98586273,,
220785,2.087841988,94.98586273,,
221014,1.945916176,94.98586273,,
221038,1.941028833,94.98586273,,
222108,2.106534719,94.98586273,,
219139,1.190751791,94.98586273,,
221088,1.960477591,94.98586273,,
296912,99.8041153,94.98586273,,
220755,2.101433516,94.98586273,,
298080,99.74069977,94.98586273,,
535230,2.018885374,94.98586273,,
222189,2.046611071,94.98586273,,
222077,2.094234228,94.98586273,,
222155,2.090512037,94.98586273,,
535437,1.812132835,94.98586273,,
221121,1.981331825,94.98586273,,
222045,2.06786871,94.98586273,,
222222,1.986073136,94.98586273,,
296880,99.81430817,94.98586273,,
296947,99.79074097,94.98586273,,
222013,2.035950422,94.98586273,,
297137,99.83903503,94.98586273,,
221156,1.991679907,94.98586273,,
222255,1.907380104,94.98586273,,
220721,2.099427223,94.98586273,,
535198,2.112723351,94.98586273,,
296848,99.81576538,94.98586273,,
221981,1.997584462,94.98586273,,
222286,1.813069344,94.98586273,,
221185,1.996320486,94.98586273,,
296302,98.82363892,94.98586273,,
535165,2.172249079,94.98586273,,
219503,2.115849257,94.98586273,,
221216,1.99264586,94.98586273,,
535468,1.783146858,94.98586273,,
