,Respondent,Grade,Facial_Expressions,Value
36,5,65.0,Disgust,0.0897593442616213
404,5,65.0,Smirk,9.708483750668623
68,5,65.0,Joy,4.016242467580927
260,5,65.0,Inner Brow Raise,0.14464590178138112
261,6,55.0,Inner Brow Raise,0.6484398921152834
325,6,55.0,Lip Stretch,3.8663661221434187
357,6,55.0,Lid Tighten,9.114809626124728
69,6,55.0,Joy,1.511286840886792
293,6,55.0,Lip Press,3.130875965535009
197,6,55.0,Chin Raise,3.8580323375250822
53,6,55.0,Fear,1.8003505201279957
405,6,55.0,Smirk,4.2501858309969345
21,6,55.0,Contempt,2.97390634674161
341,6,55.0,Lip Suck,6.878368105585374
101,6,55.0,Surprise,0.4564870514264715
5,6,55.0,Anger,8.371884652557528
165,6,55.0,Brow Raise,0.7290559992152623
245,6,55.0,Eye Widen,0.6267756522833166
37,6,55.0,Disgust,0.4350119834949546
421,6,55.0,Upper Lip Raise,2.5029148109784702
133,6,55.0,Confusion,6.868748562678279
229,6,55.0,Eye Closure,0.32447711585814204
389,6,55.0,Smile,3.1969590048458887
277,6,55.0,Lip Corner Depressor,2.273875791599155
309,6,55.0,Lip Pucker,3.137642637595406
117,6,55.0,Sentimentality,1.4512058457268946
373,6,55.0,Nose Wrinkle,1.6991110232548186
213,6,55.0,Dimpler,3.6765501962754117
437,6,55.0,Blink,0.0011442837823780298
149,6,55.0,Brow Furrow,38.47468705256437
85,6,55.0,Sadness,3.069497644507767
181,6,55.0,Cheek Raise,1.1342806433164663
198,7,75.0,Chin Raise,0.02265985803851687
406,7,75.0,Smirk,0.7843335480674094
86,7,75.0,Sadness,0.42823647835918144
214,7,75.0,Dimpler,0.07088239242794826
54,7,75.0,Fear,6.290075360170318
310,7,75.0,Lip Pucker,0.4320452170594291
326,7,75.0,Lip Stretch,0.022390201048740035
294,7,75.0,Lip Press,0.1084977118617301
230,7,75.0,Eye Closure,6.09886672767405
262,7,75.0,Inner Brow Raise,1.3901020433354225
22,7,75.0,Contempt,0.4170584472465694
102,7,75.0,Surprise,9.443915535990334
182,7,75.0,Cheek Raise,0.8365821367843331
438,7,75.0,Blink,0.006310753727925085
246,7,75.0,Eye Widen,12.354120945826951
118,7,75.0,Sentimentality,0.05056926589083988
358,7,75.0,Lid Tighten,1.1518233563645304
70,7,75.0,Joy,0.23517289823687576
390,7,75.0,Smile,0.45060177112199035
38,7,75.0,Disgust,3.2338452398879576
422,7,75.0,Upper Lip Raise,11.408654642118012
374,7,75.0,Nose Wrinkle,4.127416572448236
166,7,75.0,Brow Raise,13.305873050018862
278,7,75.0,Lip Corner Depressor,0.023673254474807958
342,7,75.0,Lip Suck,0.052106738756762576
6,7,75.0,Anger,3.2116631980116552
134,7,75.0,Confusion,2.139127145442089
150,7,75.0,Brow Furrow,5.139946998107161
231,11,55.0,Eye Closure,2.271072492919702
295,11,55.0,Lip Press,3.3005466962793064
215,11,55.0,Dimpler,8.842248320198737
23,11,55.0,Contempt,2.3992020996306977
375,11,55.0,Nose Wrinkle,0.2418001161205831
391,11,55.0,Smile,1.6174937533537057
119,11,55.0,Sentimentality,1.3129461434071672
87,11,55.0,Sadness,0.24830252532044086
423,11,55.0,Upper Lip Raise,2.0573074925941723
135,11,55.0,Confusion,0.5800716814043418
311,11,55.0,Lip Pucker,0.6537791843776013
55,11,55.0,Fear,0.7683598065171685
247,11,55.0,Eye Widen,2.2322223053540613
183,11,55.0,Cheek Raise,1.351233207052106
279,11,55.0,Lip Corner Depressor,1.2957853089690374
343,11,55.0,Lip Suck,7.877201481635058
263,11,55.0,Inner Brow Raise,1.3975689696344484
39,11,55.0,Disgust,0.21579526979334113
151,11,55.0,Brow Furrow,0.6147695434918081
7,11,55.0,Anger,0.6324616725451951
359,11,55.0,Lid Tighten,2.755281042256341
407,11,55.0,Smirk,4.703330371125816
439,11,55.0,Blink,0.005504421584551525
199,11,55.0,Chin Raise,3.97759173175415
71,11,55.0,Joy,0.5864135798462734
327,11,55.0,Lip Stretch,1.7446869288035132
103,11,55.0,Surprise,1.2514991642083566
167,11,55.0,Brow Raise,2.451229783712106
40,12,100.0,Disgust,0.07232383751810352
248,12,100.0,Eye Widen,0.535111030032883
280,12,100.0,Lip Corner Depressor,0.5050975813637599
232,12,100.0,Eye Closure,2.6028222601474478
344,12,100.0,Lip Suck,6.24170831146455
424,12,100.0,Upper Lip Raise,0.12741587698626722
88,12,100.0,Sadness,0.29533617823444636
408,12,100.0,Smirk,1.9548314517399255
440,12,100.0,Blink,0.0034943840256730255
72,12,100.0,Joy,0.033139180730351485
104,12,100.0,Surprise,0.28621130898212294
392,12,100.0,Smile,0.4023736214375976
120,12,100.0,Sentimentality,0.5381737516041611
8,12,100.0,Anger,0.24279568580052793
136,12,100.0,Confusion,0.3354999487003467
376,12,100.0,Nose Wrinkle,0.12282150885865031
152,12,100.0,Brow Furrow,0.6062034957109442
296,12,100.0,Lip Press,3.6588966608456417
360,12,100.0,Lid Tighten,0.24496380305943877
264,12,100.0,Inner Brow Raise,0.3670877753856829
200,12,100.0,Chin Raise,3.3961578035039737
56,12,100.0,Fear,0.44823487690929037
184,12,100.0,Cheek Raise,0.5912424001999158
312,12,100.0,Lip Pucker,1.8641156360998548
216,12,100.0,Dimpler,6.320546251921236
24,12,100.0,Contempt,0.7474199101118311
328,12,100.0,Lip Stretch,2.4895820774500934
168,12,100.0,Brow Raise,1.7501226717525027
25,13,60.0,Contempt,0.8461880145572185
409,13,60.0,Smirk,1.6913275835043415
313,13,60.0,Lip Pucker,1.9173098818387693
393,13,60.0,Smile,2.7548142920745042
425,13,60.0,Upper Lip Raise,2.7768579155795905
329,13,60.0,Lip Stretch,2.148790824495757
281,13,60.0,Lip Corner Depressor,2.5931739761849877
9,13,60.0,Anger,0.6682326924817739
377,13,60.0,Nose Wrinkle,0.2168934501027237
345,13,60.0,Lip Suck,5.0329611164121015
361,13,60.0,Lid Tighten,0.4781200009409561
265,13,60.0,Inner Brow Raise,1.0282912553977204
297,13,60.0,Lip Press,3.6901102807272275
441,13,60.0,Blink,0.010526025736408475
249,13,60.0,Eye Widen,1.077103761337578
217,13,60.0,Dimpler,4.9851642469912285
201,13,60.0,Chin Raise,2.834770606567779
233,13,60.0,Eye Closure,4.802086094963905
185,13,60.0,Cheek Raise,1.8957178739747267
57,13,60.0,Fear,0.9946887861468146
169,13,60.0,Brow Raise,3.0382255247430607
41,13,60.0,Disgust,0.535587078802233
137,13,60.0,Confusion,0.2936573196872876
153,13,60.0,Brow Furrow,0.1479378617731472
89,13,60.0,Sadness,0.44726690184772144
73,13,60.0,Joy,1.9701580722444412
105,13,60.0,Surprise,2.1724821461496995
121,13,60.0,Sentimentality,0.6553426524293794
122,14,60.0,Sentimentality,1.5658673100860887
314,14,60.0,Lip Pucker,4.519209732038323
202,14,60.0,Chin Raise,7.3912327668966356
410,14,60.0,Smirk,2.575909719747627
90,14,60.0,Sadness,1.4067413542699139
330,14,60.0,Lip Stretch,4.4985820238248495
426,14,60.0,Upper Lip Raise,0.6834808070373414
186,14,60.0,Cheek Raise,1.3162335922554869
74,14,60.0,Joy,0.3133784471389453
346,14,60.0,Lip Suck,5.6449793879596
58,14,60.0,Fear,0.5004682409830286
154,14,60.0,Brow Furrow,0.7973569629251738
